Date,generative_ai,machine_learning,chatgpt,large_language_model,artificial_intelligence
2026-05-03,83.0,100.0,81.0,82.0,84.0
2026-05-10,89.0,98.0,83.0,93.0,88.0
2026-05-17,91.0,84.0,82.0,100.0,85.0
2026-05-24,90.0,85.0,77.0,99.0,91.0
2026-05-31,100.0,88.0,80.0,100.0,100.0
2026-06-07,90.0,90.0,81.0,95.0,92.0
2026-06-14,82.0,98.0,78.0,84.0,92.0
2026-06-21,85.0,94.0,75.0,83.0,93.0
2026-06-28,84.0,81.0,69.0,95.0,82.0
2026-07-05,78.0,83.0,73.0,81.0,81.0
2026-07-12,50.0,59.0,71.0,42.0,63.0
2026-07-19,38.0,48.0,76.0,29.0,52.0
2026-07-26,35.0,61.0,77.0,30.0,56.0
